budget,release_date,revenue,title,Vote_Average
105000000,1926,121214377,Starship Troopers,100
102000000,1926,130482868,Cloud Atlas,100
80000000,1927,140073390,Legend of the Guardians: The Owls of Ga'Hoole,100
100000000,1927,82102379,Catwoman,100
100000000,1927,243400000,Hercules,100
140000000,1927,109578115,Treasure Planet,100
100000000,1927,68688831,Land of the Lost,100
90000000,1927,206172544,The Expendables 3,100
105000000,1927,133718711,Point Break,100
84000000,1928,0,Son of the Mask,100
100000000,1928,93820758,In the Heart of the Sea,100
100000000,1928,7103973,The Adventures of Pluto Nash,100
100000000,1928,94882889,Green Zone,100
99000000,1928,246233113,The Peanuts Movie,100
10000000,1928,13835130,The Spanish Prisoner,100
98000000,1928,433013274,The Mummy Returns,100
100000000,1928,193772504,Gangs of New York,100
94000000,1928,95311434,The Flowers of War,100
85000000,1929,149044513,Surf's Up,100
90000000,1929,102000000,The Stepford Wives,100
92000000,1930,172989651,Black Hawk Down,100
0,1930,104907746,The Campaign,100
90000000,1930,263920180,The Fifth Element,100
100000000,1930,288347692,Sex and the City 2,100
95000000,1930,76432727,The Road to El Dorado,100
95000000,1930,877244782,Ice Age: Continental Drift,100
95000000,1930,543514353,Cinderella,100
65000000,1930,93525586,The Lovely Bones,100
94000000,1930,940335536,Finding Nemo,100
94000000,1930,1118888979,The Lord of the Rings: The Return of the King,100
79000000,1930,926287400,The Lord of the Rings: The Two Towers,100
95000000,1930,114178613,Seventh Son,100
115000000,1930,274703340,Lara Croft: Tomb Raider,100
100000000,1930,103039258,Transcendence,100
93000000,1930,368780809,Jurassic Park III,100
93000000,1930,482860185,Rise of the Planet of the Apes,100
90000000,1930,162839667,The Spiderwick Chronicles,100
92000000,1930,304654182,A Good Day to Die Hard,100
145000000,1930,25819961,The Alamo,100
92000000,1930,631442092,The Incredibles,100
98000000,1930,10017322,Cutthroat Island,100
95000000,1930,226497209,Percy Jackson & the Olympians: The Lightning Thief,100
90000000,1930,589390539,Men in Black,100
90000000,1931,497366869,Toy Story 2,100
100000000,1932,167805466,Unstoppable,100
90000000,1932,347325802,Rush Hour 2,100
100000000,1934,155464351,What Lies Beneath,100
100000000,1934,242988466,Cloudy with a Chance of Meatballs,100
90000000,1935,886686817,Ice Age: Dawn of the Dinosaurs,100
90000000,1935,188133322,The Secret Life of Walter Mitty,100
92000000,1936,264105545,Charlie's Angels,100
90000000,1936,289847354,The Departed,100
90000000,1936,304320254,Mulan,100
92000000,1936,188072649,Tropic Thunder,100
90000000,1937,232617430,The Girl with the Dragon Tattoo,100
90000000,1937,366101666,Die Hard: With a Vengeance,100
90000000,1937,524028679,Sherlock Holmes,100
100000000,1937,94061311,Ben-Hur,100
120000000,1938,186053725,Atlantis: The Lost Empire,100
0,1939,233755553,Alvin and the Chipmunks: The Road Chip,100
75000000,1939,200276000,Valkyrie,100
90000000,1940,201596308,You Don't Mess with the Zohan,100
88000000,1940,243637091,Pixels,100
100000000,1940,235926552,A.I. Artificial Intelligence,100
90000000,1940,182290266,The Haunted Mansion,100
90000000,1940,171120329,Contact,100
95000000,1940,190213455,Hollow Man,100
80000000,1940,162944923,The Interpreter,100
90000000,1940,174578751,Percy Jackson: Sea of Monsters,100
95000000,1940,156505388,Lara Croft Tomb Raider: The Cradle of Life,100
90000000,1940,334901337,Now You See Me 2,100
68000000,1940,118063304,The Saint,100
92000000,1940,143049560,Spy Game,100
90000000,1941,60874615,Mission to Mars,100
90000000,1941,484635760,Rio,100
100000000,1945,93700000,Bicentennial Man,100
90000000,1945,0,Volcano,100
90000000,1947,140807547,The Devil's Own,100
100000000,1949,35168966,K-19: The Widowmaker,100
20000000,1950,79114085,Conan the Barbarian,100
88000000,1950,108539911,Cinderella Man,100
90000000,1950,16178959,The Nutcracker: The Untold Story,100
87000000,1950,148336445,Seabiscuit,100
92000000,1950,494471524,Twister,100
90000000,1950,429632142,Cast Away,100
100000000,1951,384335608,Happy Feet,100
75000000,1951,288500217,The Bourne Supremacy,100
85000000,1951,315156409,Air Force One,100
85000000,1951,450717150,Ocean's Eleven,100
75000000,1953,132274484,The Three Musketeers,100
85000000,1954,358375603,Hotel Transylvania,100
85000000,1956,340487652,Enchanted,100
85000000,1956,208076205,Safe House,100
85000000,1960,183611771,102 Dalmatians,100
75000000,1960,152930623,Tower Heist,100
85000000,1960,194168700,The Holiday,100
90000000,1965,250649836,Enemy of the State,100
85000000,1965,219103655,It's Complicated,100
85000000,1965,311312624,Ocean's Thirteen,100
85000000,1965,197309027,Open Season,100
85000000,1970,288747895,Divergent,100
68000000,1970,96976270,Enemy at the Gates,100
85000000,1970,80916492,The Rundown,100
85000000,1970,137298489,Last Action Hero,100
85000000,1970,162242962,Memoirs of a Geisha,100
85000000,1976,158468292,The Fast and the Furious: Tokyo Drift,100
0,1980,0,Arthur Christmas,100
90000000,1989,142940100,Meet Joe Black,100
85000000,1989,78382433,Collateral Damage,100
0,1989,37823676,All That Jazz,100
85000000,1989,183018522,Mirror Mirror,100
60000000,1989,47664559,Scott Pilgrim vs. the World,100
60000000,1989,74208267,The Core,100
84000000,1989,123307945,Nutty Professor II: The Klumps,100
84000000,1989,275650703,Scooby-Doo,100
50000000,1989,41037742,Dredd,100
82500000,1989,237681299,Click,100
8000000,1990,21028755,Creepshow,100
85000000,1993,112483764,Cats & Dogs 2 : The Revenge of Kitty Galore,100
85000000,2004,222231186,Jumper,100
85000000,2004,160388063,Hellboy II: The Golden Army,100
65000000,2009,84785914,Zodiac,100
82000000,2013,96085477,The 6th Day,100
80000000,2014,484572835,Bruce Almighty,100
55000000,1900,223387299,Flightplan,100
55000000,1900,214015089,Disclosure,100
55000000,1900,198685114,City of Angels,100
30000000,1900,180949000,Kill Bill: Vol. 1,100
55000000,1901,0,Bowfinger,100
30000000,1901,152159461,Kill Bill: Vol. 2,100
55000000,1901,63408614,Tango & Cash,100
55000000,1901,149022650,Death Becomes Her,100
55000000,1901,56932305,Shanghai Noon,100
55000000,1901,121969216,Executive Decision,100
55000000,1901,187361754,Mr. Popper's Penguins,100
55000000,1901,127906624,The Forbidden Kingdom,100
55000000,1901,110000000,Free Birds,100
50000000,1901,159773545,Alien³,100
55000000,1901,141047179,Evita,100
55000000,1901,41610884,Ronin,100
50000000,1901,75000000,The Ghost and the Darkness,100
55000000,1905,259207227,Paddington,100
68000000,1910,68267862,The Watch,100
55000000,1910,34234008,The Hunted,100
80000000,1910,0,Instinct,100
55000000,1910,33828318,Stuck on You,100
0,1910,33472850,Semi-Pro,100
60000000,1910,118338361,The Pirates! In an Adventure with Scientists!,100
55000000,1910,113020255,Changeling,100
50000000,1910,60209334,Chain Reaction,100
55000000,1910,18626419,The Fan,100
70000000,1910,154648887,The Phantom of the Opera,100
55000000,1910,74237563,Elizabeth: The Golden Age,100
62000000,1910,52304001,Æon Flux,100
56000000,1911,12923936,Gods and Generals,100
55000000,1913,11466088,Turbulence,100
55000000,1914,0,Imagine That,100
50000000,1914,80383290,Muppets Most Wanted,100
57000000,1914,28283637,Thunderbirds,100
55000000,1915,89519773,Burlesque,100
47000000,1915,0,A Very Long Engagement,100
2000000,1915,9250000,Lolita,100
55000000,1915,6416302,D-Tox,100
54000000,1915,155010032,Blade II,100
55000000,1915,168167691,Seven Pounds,100
55000000,1915,9489829,Bullet to the Head,100
54000000,1915,136766062,The Godfather: Part III,100
57000000,1916,52034889,Elizabethtown,100
54000000,1916,130431368,"You, Me and Dupree",100
54000000,1917,190458706,Superman II,100
54000000,1917,7266209,Gigli,100
55000000,1917,9450897,All the King's Men,100
46000000,1918,107196498,Shaft,100
53000000,1920,139804348,Anastasia,100
52500000,1920,179213434,Moulin Rouge!,100
75000000,1920,54249294,Domestic Disturbance,100
53000000,1920,98837872,Black Mass,100
90000000,1920,65900249,Flags of Our Fathers,100
53000000,1920,126690726,Law Abiding Citizen,100
67000000,1920,25037897,Grindhouse,100
0,1920,0,Beloved,100
0,1920,5761917,Lucky You,100
52000000,1920,352114312,Catch Me If You Can,100
40000000,1920,132820716,Zero Dark Thirty,100
52000000,1920,204999686,The Break-Up,100
52000000,1920,609841637,Mamma Mia!,100
52000000,1920,216485654,Valentine's Day,100
50000000,1920,110803676,The Dukes of Hazzard,100
52000000,1920,98126565,The Thin Red Line,100
52000000,1920,75450437,The Change-Up,100
82000000,1920,47434430,Man on the Moon,100
52000000,1920,116112375,Casino,100
52000000,1920,52826594,From Paris with Love,100
52000000,1920,0,Bulletproof Monk,100
51000000,1920,149270999,"Me, Myself & Irene",100
51000000,1920,72779000,Barnyard,100
0,1920,47231070,Deck the Halls,100
50000000,1920,709827462,The Twilight Saga: New Moon,100
60000000,1920,484409218,Shrek,100
50200000,1920,127869379,The Adjustment Bureau,100
48000000,1920,390493908,Robin Hood: Prince of Thieves,100
50000000,1920,273552592,Jerry Maguire,100
50000000,1920,549368315,Ted,100
50000000,1920,314178011,As Good as It Gets,100
50000000,1920,202292902,Patch Adams,100
50000000,1920,173649015,Anchorman 2: The Legend Continues,100
50000000,1920,171269535,Mr. Deeds,100
50000000,1920,260095987,Super 8,100
52000000,1920,256271286,Erin Brockovich,100
50000000,1920,177371441,How to Lose a Guy in 10 Days,100
50000000,1920,188441614,22 Jump Street,100
60000000,1921,223664608,Interview with the Vampire,100
70000000,1922,225990978,Yes Man,100
50000000,1922,216972543,Central Intelligence,100
0,1922,0,Stepmom,100
50000000,1923,242786137,Daddy's Home,100
50000000,1923,212902372,Into the Woods,100
45000000,1924,184376254,Inside Man,100
90000000,1924,161626121,Payback,100
50000000,1924,152022101,Congo,100
50000000,1925,120081841,We Bought a Zoo,100
50000000,1925,155446362,Knowing,100
50000000,1925,88715192,Failure to Launch,100
50000000,1925,161451538,The Ring Two,100
50000000,1925,142851197,"Crazy, Stupid, Love.",100
50000000,1925,200804534,Garfield,100
60000000,1925,0,Christmas with the Kranks,100
50000000,1925,110206216,Moneyball,100
50000000,1925,189859560,Outbreak,100
50000000,1925,222809600,Non-Stop,100
50000000,1925,106303988,Race to Witch Mountain,100
54000000,1925,132511035,V for Vendetta,100
50000000,1925,88323487,Shanghai Knights,100
50000000,1925,69834815,Curious George,100
50000000,1925,66002004,Herbie Fully Loaded,100
50000000,1925,100020092,Don't Say a Word,100
50000000,1925,224803475,Hansel & Gretel: Witch Hunters,100
50000000,1925,119137784,Unfaithful,100
50000000,1925,144492830,I Am Number Four,100
50000000,1925,94000000,Syriana,100
50000000,1925,69411370,13 Hours: The Secret Soldiers of Benghazi,100
50000000,1925,97437106,The Book of Life,100
45000000,1925,82800000,Firewall,100
50000000,1925,50068310,Absolute Power,100
50000000,1925,48169156,G.I. Jane,100
50000000,1925,109423648,The Game,100
50000000,1925,97607453,Silent Hill,100
0,1925,0,The Replacements,100
50000000,1925,234989584,American Reunion,100
50000000,1925,44547681,The Negotiator,100
50000000,1925,160602194,Into the Storm,100
50000000,1925,119208989,Beverly Hills Cop III,100
50000000,1925,41482207,Gremlins 2: The New Batch,100
50000000,1925,83719388,The Judge,100
50000000,1925,0,The Peacemaker,100
45000000,1925,129394835,Resident Evil: Apocalypse,100
50000000,1925,40203020,Bridget Jones: The Edge of Reason,100
50000000,1925,55495563,Out of Time,100
50000000,1925,49000000,On Deadly Ground,100
50000000,1925,69425966,The Adventures of Sharkboy and Lavagirl,100
40000000,1925,144056873,The Beach,100
50000000,1925,49718611,Raising Helen,100
40000000,1925,60462347,Ninja Assassin,100
50000000,1925,0,For Love of the Game,100
50000000,1925,113309743,Striptease,100
50000000,1925,83761844,Marmaduke,100
50000000,1925,105197635,Hereafter,100
50000000,1925,56714147,Murder by Numbers,100
50000000,1925,30303072,Assassins,100
50000000,1925,82169884,Hannibal Rising,100
50000000,1925,58900031,The Story of Us,100
44000000,1925,63327201,The Host,100
50000000,1925,42792561,Basic,100
50000000,1925,26199517,Blood Work,100
50000000,1925,60161391,The International,100
50000000,1926,42277365,Escape from L.A.,100
70000000,1926,23159305,The Iron Giant,100
50000000,1926,34808403,The Life Aquatic with Steve Zissou,100
50000000,1926,25035950,Free State of Jones,100
50000000,1926,38955598,The Life of David Gale,100
40000000,1926,0,Man of the House,100
50000000,1926,71561644,Run All Night,100
51500000,1926,55112356,Eastern Promises,100
50000000,1926,44434439,Into the Blue,100
60000000,1926,66976317,The Messenger: The Story of Joan of Arc,100
49900000,1926,26121638,Your Highness,100
50000000,1926,38502340,Dream House,100
50000000,1926,10541523,Mad City,100
50000000,1927,16671505,Baby's Day Out,100
50000000,1927,10382407,The Scarlet Letter,100
22000000,1927,24188922,Fair Game,100
50000000,1927,22944502,Domino,100
50000000,1927,9851610,Jade,100
50000000,1927,40828540,Gamer,100
60000000,1927,60052138,Beautiful Creatures,100
55000000,1928,0,Death to Smoochy,100
50000000,1928,55969000,Zoolander 2,100
50000000,1928,6808550,The Big Bounce,100
60000000,1928,0,What Planet Are You From?,100
50000000,1928,28931401,Drive Angry,100
50000000,1928,12764201,Street Fighter: The Legend of Chun-Li,100
49000000,1928,72700000,The One,100
49000000,1928,20423389,The Adventures of Ford Fairlane,100
50000000,1928,36348784,The Boat That Rocked,100
48000000,1929,207515725,Traffic,100
48000000,1929,474171806,Indiana Jones and the Last Crusade,100
0,1930,68929150,Anna Karenina,100
49000000,1930,104399548,Chappie,100
73000000,1930,151493655,The Bone Collector,100
48000000,1930,196397415,Panic Room,100
0,1930,0,The Tooth Fairy,100
75000000,1930,108000000,Three Kings,100
50000000,1930,3324330,Child 44,100
48000000,1930,85498534,Rat Race,100
48000000,1930,50315140,K-PAX,100
0,1930,0,Kate & Leopold,100
48000000,1930,90383208,Bedazzled,100
58000000,1930,25928721,The Cotton Club,100
55000000,1930,70016220,3:10 to Yuma,100
48000000,1930,325771424,Taken 3,100
48000000,1930,77745568,Out of Sight,100
47000000,1930,102825796,The Cable Guy,100
0,1930,528972,Earth,100
47000000,1930,103738726,Dick Tracy,100
48000000,1930,124305181,The Thomas Crown Affair,100
48000000,1930,35743308,Riding in Cars with Boys,100
15000000,1930,125212904,First Blood,100
0,1930,0,Solaris,100
47000000,1930,38085778,Happily N'Ever After,100
47000000,1931,12379402,Mary Reilly,100
38000000,1932,299288605,My Best Friend's Wedding,100
0,1932,0,America's Sweethearts,100
46000000,1934,113714830,Insomnia,100
46000000,1934,150000000,Star Trek: First Contact,100
47000000,1935,10539000,Jonah Hex,100
46000000,1935,100860818,Courage Under Fire,100
45000000,1936,181000000,Liar Liar,100
25000000,1936,15436808,The Infiltrator,100
46000000,1936,5200000,Inchon,100
46000000,1936,341631208,The Flintstones,100
45000000,1937,376141306,Taken 2,100
48000000,1937,220673217,Scary Movie 3,100
45000000,1937,212000000,Miss Congeniality,100
45000000,1937,101702060,Journey to the Center of the Earth,100
40000000,1938,95149435,The Princess Diaries 2: Royal Engagement,100
45000000,1939,195268056,The Pelican Brief,100
45000000,1939,117615211,The Client,100
45000000,1940,175372502,The Bucket List,100
45000000,1940,178051587,Patriot Games,100
43000000,1940,154749918,Monster-in-Law,100
46000000,1940,122126687,Prisoners,100
45000000,1940,104876233,Training Day,100
45000000,1940,90683916,Galaxy Quest,100
45000000,1940,141220678,Scary Movie 2,100
45000000,1940,165184237,The Muppets,100
45000000,1940,131183530,Blade,100
30000000,1940,76669806,Coach Carter,100
45000000,1940,94935764,Changing Lanes,100
45000000,1940,136885767,Anaconda,100
45000000,1941,113916474,Coyote Ugly,100
40000000,1941,244931766,Love Actually,100
120000000,1945,363258859,A Bug's Life,100
35000000,1945,74558115,From Hell,100
45000000,1947,170362582,The Specialist,100
45000000,1949,53854588,Tin Cup,100
0,1950,0,"Yours, Mine and Ours",100
45000000,1950,56070433,Kicking & Screaming,100
50000000,1950,104478416,The Hitchhiker's Guide to the Galaxy,100
0,1950,0,Fat Albert,100
45000000,1950,148412065,Resident Evil: Extinction,100
40000000,1950,123494610,Blended,100
45000000,1951,38399961,Last Holiday,100
45000000,1951,0,The River Wild,100
45000000,1951,0,The Indian in the Cupboard,100
45000000,1951,82966152,Savages,100
25000000,1953,56422687,Cellular,100
40000000,1954,160583018,Johnny English,100
50000000,1956,55181129,The Ant Bully,100
40000000,1956,30925690,Dune,100
0,1960,0,Across the Universe,100
35000000,1960,75225693,Revolutionary Road,100
55000000,1960,65664721,16 Blocks,100
70000000,1965,72108608,Babylon A.D.,100
45000000,1965,0,The Glimmer Man,100
45000000,1965,0,Multiplicity,100
45000000,1965,57881056,Aliens in the Attic,100
35000000,1970,29400000,The Pledge,100
45000000,1970,38058335,The Producers,100
45000000,1970,17300889,The Phantom,100
57000000,1970,0,All the Pretty Horses,100
44000000,1970,13681765,Nixon,100
45000000,1976,60222298,The Ghost Writer,100
45000000,1980,11203026,Deep Rising,100
45000000,1989,9323833,Miracle at St. Anna,100
110,1989,0,Curse of the Golden Flower,100
45000000,1989,42487390,Bangkok Dangerous,100
40000000,1989,8493890,Big Trouble,100
45000000,1989,4607608,Love in the Time of Cholera,100
45000000,1989,2154540,Shadow Conspiracy,100
45000000,1989,160078586,Johnny English Reborn,100
65000000,1989,73706,Foodfight!,100
44500000,1989,232324128,Argo,100
44000000,1989,368875760,The Fugitive,100
40000000,1990,136000000,The Bounty Hunter,100
44000000,1993,165615285,Sleepers,100
44000000,2004,300400432,Rambo: First Blood Part II,100
44000000,2004,0,The Juror,100
2600000,2009,84300000,Pinocchio,100
44000000,2013,3484331,Heaven's Gate,100
50000000,2014,111340801,Underworld: Evolution,100
32000000,1900,60740827,A History of Violence,100
32000000,1900,85167639,Transporter 2,100
32000000,1900,18552460,The Quick and the Dead,100
28000000,1900,30016165,Laws of Attraction,100
32000000,1901,0,Bringing Out the Dead,100
32000000,1901,18409891,Repo Men,100
70000000,1901,53587404,Dragon Wars: D-War,100
32000000,1901,0,Bogus,100
30000000,1901,27437881,The Incredible Burt Wonderstone,100
32000000,1901,3566637,Cats Don't Dance,100
0,1901,0,Cradle Will Rock,100
32000000,1901,5914908,The Good German,100
32000000,1901,0,George and the Dragon,100
31500000,1901,89460381,Apocalypse Now,100
32000000,1901,42045846,Going the Distance,100
0,1901,106269971,Mr. Holland's Opus,100
31500000,1901,14708696,Criminal,100
31000000,1905,128499205,Out of Africa,100
31000000,1910,161772375,Flight,100
34000000,1910,210308099,Moonraker,100
30000000,1910,174600318,The Grand Budapest Hotel,100
31000000,1910,24185781,Hearts in Atlantis,100
31000000,1910,53208180,Arachnophobia,100
31000000,1910,68106245,Frequency,100
31000000,1910,104384188,Vacation,100
30250000,1910,115101622,Get Shorty,100
45000000,1910,306776732,Chicago,100
34200000,1910,234801895,Big Daddy,100
30000000,1910,287553595,American Pie 2,100
30000000,1910,373554033,Toy Story,100
30000000,1911,350448145,Speed,100
30000000,1913,196114570,The Vow,100
31000000,1914,15134293,Extraordinary Measures,100
30000000,1914,136706683,Remember the Titans,100
30000000,1914,199200000,The Hunt for Red October,100
25000000,1915,115922175,The Butler,100
20000000,1915,167722310,DodgeBall: A True Underdog Story,100
30000000,1915,191502426,The Addams Family,100
30000000,1915,212385533,Ace Ventura: When Nature Calls,100
37000000,1915,165335153,The Princess Diaries,100
26000000,1915,116400000,The First Wives Club,100
33000000,1915,327311859,Se7en,100
30000000,1915,210819611,District 9,100
30000000,1916,140161792,The SpongeBob SquarePants Movie,100
25000000,1916,156822020,Mystic River,100
30000000,1917,216763646,Million Dollar Baby,100
80000000,1917,176885658,Analyze This,100
29000000,1917,115603229,The Notebook,100
30000000,1918,160259319,27 Dresses,100
35000000,1920,155545279,Hannah Montana: The Movie,100
30,1920,103,Rugrats in Paris: The Movie,100
30000000,1920,74787599,The Prince of Tides,100
30000000,1920,160638883,Legends of the Fall,100
25000000,1920,163670000,Up in the Air,100
30000000,1920,105834556,About Schmidt,100
35000000,1920,116980662,Warm Bodies,100
30000000,1920,47042000,Looper,100
0,1920,0,Down to Earth,100
30000000,1920,254134910,Babe,100
30000000,1920,114281051,Hope Springs,100
30000000,1920,105173115,Forgetting Sarah Marshall,100
45000000,1920,92374674,Four Brothers,100
30000000,1920,63833449,Baby Mama,100
0,1920,0,Hope Floats,100
30000000,1920,114663461,Bride Wars,100
19000000,1920,69631118,Without a Paddle,100
37000000,1920,96455697,13 Going on 30,100
30000000,1920,151119219,Midnight in Paris,100
0,1920,0,The Nut Job,100
53000000,1920,83282296,Blow,100
80000000,1920,118880016,Message in a Bottle,100
30000000,1920,70200000,Star Trek V: The Final Frontier,100
30000000,1920,0,Like Mike,100
30000000,1920,51132598,The Naked Gun 33⅓: The Final Insult,100
30000000,1920,152427960,A View to a Kill,100
30000000,1920,192452832,The Curse of the Were-Rabbit,100
30000000,1920,156835339,P.S. I Love You,100
30000000,1920,93772522,Racing Stripes,100
30000000,1920,129266061,Atonement,100
30000000,1920,0,Letters to Juliet,100
30000000,1920,45892212,Black Rain,100
30000000,1920,54819301,The Three Stooges,100
40000000,1920,117195061,Corpse Bride,100
0,1920,42647449,Glory Road,100
30000000,1920,84025816,Sicario,100
30000000,1920,91709827,Southpaw,100
30000000,1920,90810892,Drag Me to Hell,100
25000000,1921,65663276,The Age of Adaline,100
0,1922,0,Secondhand Lions,100
30000000,1922,159291809,Step Up 3D,100
25000000,1922,51842679,Blue Crush,100
30000000,1923,53653224,Stranger Than Fiction,100
30000000,1923,75505973,30 Days of Night,100
30000000,1924,66486080,The Cabin in the Woods,100
30000000,1924,84646831,Meet the Spartans,100
30000000,1924,38413606,Midnight Run,100
27000000,1925,38122105,The Running Man,100
25000000,1925,38748395,Little Shop of Horrors,100
30000000,1925,63782078,Hanna,100
30000000,1925,51376861,Mortal Kombat: Annihilation,100
30000000,1925,36160375,Larry Crowne,100
30000000,1925,82394288,Carrie,100
30000000,1925,34742066,Take the Lead,100
30000000,1925,41480851,Gridiron Gang,100
45000000,1925,0,What's the Worst That Could Happen?,100
30000000,1925,48428063,9,100
30000000,1925,63372757,Side Effects,100
0,1925,0,The Prince & Me,100
30000000,1925,14460000,Winnie the Pooh,100
19000000,1925,39267515,Dumb and Dumberer: When Harry Met Lloyd,100
30000000,1925,29202884,Bulworth,100
0,1925,31911598,Get on Up,100
0,1925,0,One True Thing,100
30000000,1925,24048000,Virtuosity,100
0,1925,60896147,My Super Ex-Girlfriend,100
30000000,1925,0,Deliver Us from Evil,100
30000000,1925,108609310,Sanctum,100
35000000,1925,22034832,Little Black Book,100
30000000,1925,53909751,The Five-Year Engagement,100
30000000,1925,21800302,Mr. 3000,100
30000000,1925,51148651,The Next Three Days,100
30000000,1925,31070211,Ultraviolet,100
30000000,1925,35294470,Assault on Precinct 13,100
30000000,1925,19204929,The Replacement Killers,100
25000000,1925,17193231,Fled,100
0,1925,0,Eight Legged Freaks,100
30000000,1925,102820008,Love & Other Drugs,100
30000000,1925,16930884,88 Minutes,100
35000000,1925,25224242,North Country,100
40000000,1925,26155781,The Whole Ten Yards,100
26000000,1925,0,Splice,100
37000000,1925,37962774,Howard the Duck,100
30000000,1925,31148328,Pride and Glory,100
30000000,1925,15007991,The Cave,100
30000000,1925,15368897,Alex & Emma,100
30000000,1925,13001257,Wicker Park,100
17000000,1925,24922237,Fright Night,100
30000000,1925,30536013,The New World,100
30000000,1925,0,Wing Commander,100
0,1925,0,In Dreams,100
100000000,1925,0,Dragonball Evolution,100
30000000,1925,0,The Last Stand,100
25000000,1925,30114487,Godsend,100
23000000,1925,12,Chasing Liberty,100
30000000,1925,13521829,Hoodwinked Too! Hood VS. Evil,100
30000000,1925,18618284,An Unfinished Life,100
30000000,1925,64352607,The Imaginarium of Doctor Parnassus,100
30000000,1925,8454301,Barney's Version,100
30000000,1925,62616646,Runner Runner,100
30000000,1925,18195610,Antitrust,100
18000000,1925,26828365,Glory,100
30000000,1926,0,Once Upon a Time in America,100
0,1926,18074539,Dead Man Down,100
0,1926,0,The Merchant of Venice,100
0,1926,0,The Good Thief,100
0,1926,3102550,Supercross,100
30000000,1926,35078241,Miss Potter,100
0,1926,0,The Promise,100
21000000,1926,480314,DOA: Dead or Alive,100
30000000,1926,14711793,The Assassination of Jesse James by the Coward Robert Ford,100
30000000,1926,108348,1911,100
0,1926,0,Little Nicholas,100
30000000,1926,0,Wild Card,100
30000000,1926,2527904,Machine Gun Preacher,100
0,1927,0,Animals United,100
30000000,1927,0,Goodbye Bafana,100
27000000,1927,0,United Passions,100
30000000,1927,0,Grace of Monaco,100
30000000,1927,0,Savva. Heart of the Warrior,100
30000000,1927,0,Ripley's Game,100
19000000,1927,140752617,Sausage Party,100
29000000,1928,287506194,Pitch Perfect 2,100
28000000,1928,186438883,Walk the Line,100
30000000,1928,37036004,Keeping the Faith,100
29000000,1928,0,The Borrowers,100
0,1928,0,Frost/Nixon,100
30000000,1928,33013805,Confessions of a Dangerous Mind,100
29000000,1928,16930185,Serving Sara,100
29000000,1928,78636257,The Boss,100
0,1928,0,Cry Freedom,100
0,1929,0,Mumford,100
12000000,1929,24829644,Seed of Chucky,100
29000000,1930,21126225,The Jacket,100
28000000,1930,504050219,Aladdin,100
28000000,1930,201634991,Straight Outta Compton,100
28000000,1930,333000000,Indiana Jones and the Temple of Doom,100
30000000,1930,100491683,The Rugrats Movie,100
60000000,1930,105178561,Along Came a Spider,100
29000000,1930,48902953,Florence Foster Jenkins,100
29000000,1930,98185582,Once Upon a Time in Mexico,100
28000000,1930,140767956,Die Hard,100
28000000,1930,92380927,Role Models,100
28000000,1930,133346506,The Big Short,100
0,1930,0,Taking Woodstock,100
28000000,1930,64445708,Miracle,100
28000000,1930,102356381,Dawn of the Dead,100
35000000,1930,94728529,The Wedding Planner,100
30000000,1930,17137302,Space Pirate Captain Harlock,100
21000000,1930,71441250,The Royal Tenenbaums,100
30000000,1930,90259536,Identity,100
28000000,1930,134402450,Last Vegas,100
28000000,1930,195312802,For Your Eyes Only,100
28000000,1930,77516304,Serendipity,100
27000000,1930,101646581,Timecop,100
28000000,1930,60780981,Zoolander,100
28000000,1931,97594140,Safe Haven,100
28000000,1932,39514713,Hocus Pocus,100
28000000,1932,92601050,No Reservations,100
28000000,1934,96188903,Kick-Ass,100
28000000,1934,40547440,30 Minutes or Less,100
28000000,1935,33000337,Dracula 2000,100
28000000,1935,100654149,"Alexander and the Terrible, Horrible, No Good, Very Bad Day",100
28000000,1936,121147947,Pride & Prejudice,100
28000000,1936,33139618,Blade Runner,100
28000000,1936,31596911,Rob Roy,100
28000000,1936,52597999,3 Days to Kill,100
21000000,1937,54926886,We Own the Night,100
0,1937,0,Lost Souls,100
35866397,1937,20217080,Winged Migration,100
28000000,1937,38159905,Just My Luck,100
28000000,1938,8888143,"Mystery, Alaska",100
28000000,1939,45236543,The Spy Next Door,100
28000000,1939,8345056,A Simple Wish,100
28000000,1940,14010832,Ghosts of Mars,100
28000000,1940,7002261,Our Brand Is Crisis,100
28000000,1940,16374328,Pride and Prejudice and Zombies,100
28000000,1940,5684789,Kundun,100
27000000,1940,17286299,How to Lose Friends & Alienate People,100
28000000,1940,60700000,Kick-Ass 2,100
24000000,1940,23321954,Alatriste,100
28000000,1940,68896829,Brick Mansions,100
27500000,1940,187500000,Octopussy,100
30000000,1940,219076518,Knocked Up,100
30000000,1940,95714875,My Sister's Keeper,100
35000000,1940,43650785,Welcome Home Roscoe Jenkins,100
8000000,1941,27187653,A Passage to India,100
15000000,1941,49469904,Notes on a Scandal,100
27500000,1945,24748670,Rendition,100
27000000,1945,96900000,Star Trek VI: The Undiscovered Country,100
27000000,1947,0,Divine Secrets of the Ya-Ya Sisterhood,100
27000000,1949,60527873,Kiss the Girls,100
27000000,1950,115229890,The Blues Brothers,100
27000000,1950,44352417,The Sisterhood of the Traveling Pants 2,100
0,1950,0,Joyful Noise,100
27000000,1950,129000000,About a Boy,100
27000000,1950,56870414,Lake Placid,100
27000000,1950,56308881,Lucky Number Slevin,100
